drugbank_id	atc
DB00381	C10BX14
DB00381	C09BB07
DB00381	C09DX07
DB00382	N06DA01
DB00383	A03AA01
DB00383	A03CA03
DB00384	C03DB02
DB00385	L01DB09
DB00387	N04AA04
DB00388	S01FB01
DB00388	R01AB01
DB00388	C01CA06
DB00388	R01AA04
DB00388	S01FB51
DB00388	R01BA53
DB00388	S01GA05
DB00388	S01GA55
DB00388	R01BA03
DB00389	H03BB01
DB00390	C01AA05
DB00391	N05AL01
DB00392	N04AA05
DB00393	C08CA06
DB00394	D07CC04
DB00394	R03AL09
DB00394	R03BA01
DB00394	D07AC15
DB00394	R03AK08
DB00394	R03AK13
DB00394	R01AD01
DB00394	A07EA07
DB00395	M03BA02
DB00395	M03BA72
DB00395	M03BA52
DB00396	G03FA04
DB00396	G03DA04
DB00397	R01BA51
DB00397	R01BA01
DB00398	L01EX02
DB00399	M05BB08
DB00399	M05BA08
DB00400	D01BA01
DB00400	D01AA08
DB00401	C08CA07
DB00402	N05CF04
DB00403	V04CC04
DB00404	N05BA12
DB00405	R06AB06
DB00405	R06AB56
DB00406	G01AX09
DB00406	D01AE02
DB00407	D01AE02
DB00408	N05AH01
DB00409	N05AL04
DB00410	R01AX06
DB00410	D06AX09
DB00411	N07AB01
DB00411	S01EB02
DB00412	A10BD04
DB00412	A10BG02
DB00412	A10BD03
DB00413	N04BC05
DB00414	A10BB31
DB00415	J01CR50
DB00415	J01CA51
DB00415	J01CA01
DB00415	S01AA19
DB00416	S01AA19
DB00417	J01CR50
DB00417	J01CE10
DB00417	J01CE02
DB00418	N05CB01
DB00418	N05CA06
DB00419	A16AX06
DB00420	N05AA03
DB00421	C03DA01
DB00422	N06BA04
DB00423	M03BA73
DB00423	M03BA03
DB00423	M03BA53
DB00424	A03BA03
DB00424	A03CB31
DB00425	N05CF02
DB00426	J05AB09
DB00426	S01AD07
DB00427	R06AX07
DB00428	L01AD04
DB00429	G02AD04
DB00430	J01DD11
DB00431	P03AB02
DB00432	L01BC59
DB00432	S01AD02
DB00433	N05AB04
DB00434	R06AX02
DB00435	R07AX01
DB00436	C03AB01
DB00436	C03EA13
DB00436	G01AE10
DB00436	C03AA01
DB00437	M04AA01
DB00437	M04AA51
DB00438	J01DD02
DB00439	C10AA06
DB00440	J01EE03
DB00440	J01EA01
DB00440	J04AM08
DB00440	J01EE01
DB00440	J01EE04
DB00440	J01EE02
DB00440	J01EE05
DB00440	J01EE07
DB00441	L01BC05
DB00442	J05AF10
DB00443	R01AD06
DB00443	D07BC01
DB00443	S01BA06
DB00443	S01BB04
DB00443	S01CB04
DB00443	H02AB01
DB00443	C05AA05
DB00443	S03CA06
DB00443	D07XC01
DB00443	D07AC01
DB00443	A07EA04
DB00443	S02BA07
DB00443	R03BA04
DB00443	S03BA03
DB00443	S01CA05
DB00443	D07CC01
DB00444	L01CB02
DB00445	L01DB03
DB00446	D06AX02
DB00446	S02AA01
DB00446	D10AF03
DB00446	S01AA01
DB00446	G01AA05
