DATABASE_ID	SMILES	MOLECULAR_WEIGHT	JCHEM_AVERAGE_POLARIZABILITY	JCHEM_BIOAVAILABILITY	JCHEM_DONOR_COUNT	JCHEM_FORMAL_CHARGE	JCHEM_NEUTRAL_CHARGE	JCHEM_NUMBER_OF_RINGS	JCHEM_PHYSIOLOGICAL_CHARGE	JCHEM_PKA	JCHEM_PKA_STRONGEST_ACIDIC	JCHEM_PKA_STRONGEST_BASIC	JCHEM_POLAR_SURFACE_AREA	JCHEM_REFRACTIVITY	JCHEM_ROTATABLE_BOND_COUNT
DB00227	[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC	404.5396	46.05853270513368	1	1	0	0	3	0		14.914537666911102	-2.8361812244930835	72.83	113.18239999999999	7
DB00242	NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1	285.687	26.848585834468757	1	3	0	0	3	0	14.784914754944117	13.886716048866097	2.218954823550772	119.30999999999999	67.18350000000001	2
DB00262	ClCCNC(=O)N(CCCl)N=O	214.05	18.795479654816873	1	1	0	0	0	0		13.363142882619123	-5.344505514075843	61.77	46.9797	5
DB00279	N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O	650.9735	43.92059819460361	1	3	0	0	2	0	8.49112819466963	0.3025527340740364	9.48230448922794	92.78	113.42549999999999	5
DB00282	NCCC(O)(P(O)(O)=O)P(O)(O)=O	235.0695	17.338067565013077	1	6	0	-2	0	-2	1.4320105727980836	0.6686214006842393	9.855403863984707	161.31	42.6188	4
DB00290	[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O	1415.552	139.19395870661936	0	20	1	2	6	2	12.121305944618864	11.390324393689676	7.650823772653191	627.0699999999998	343.83480000000026	36
DB00291	OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl	304.212	31.982298958363188	1	1	0	-1	1	-1		4.455549351160488	1.7171649065281474	40.54	79.6828	9
DB00293	CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O	458.488	45.55445488572825	1	4	0	-2	3	-2	4.448816942483675	3.7249997893306026	1.2435385968036636	148.39999999999998	117.39150000000001	9
DB00305	[H][C@]12CN3C4=C([C@@H](COC(N)=O)[C@@]3(OC)[C@@]1([H])N2)C(=O)C(N)=C(C)C4=O	334.3272	32.772082235581934	1	3	0	0	4	0	16.143426500747395	14.96649073275689	5.760698626931116	146.89	83.2689	4
DB00307	CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C	348.4779	41.061396033331874	1	1	0	-1	3	-1		4.070792459533179		37.3	117.124	3
DB00313	CCCC(CCC)C(O)=O	144.2114	16.996878483662726	1	1	0	-1	0	-1		5.144389811177235		37.3	40.2491	5
DB00317	COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1	446.902	46.113650326281444	1	1	0	1	4	0		16.105064168096977	6.846829183950772	68.74000000000001	117.50680000000001	8
DB00322	OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O	246.1924	20.949961641295644	1	3	0	0	2	0	13.907877654313866	8.078643056854242	-2.9780835982375358	99.09999999999998	51.2578	2
DB00331	CN(C)C(=N)NC(N)=N	129.1636	13.427402057500638	1	4	0	2	0	2			12.325150598103365	88.99	56.642700000000005	0
DB00351	[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C	384.516	43.51415933548088	1	0	0		4	0	19.92277853101958	17.826162097938024	-4.860581975061152	60.44	108.65539999999994	3
DB00352	NC1=NC(=S)C2=C(N1)N=CN2	167.192	15.64558088462347	1	3	0	0	2	0	15.17176928976736	10.813251025755159	4.540379753663812	79.09	46.891999999999996	0
DB00361	[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC	778.947	84.30771990824836	1	2	0		9	2	15.049389392712396	10.86803895686857	8.663182710903866	133.87000000000003	216.98749999999998	10
DB00377	[H][C@]12CCCC3=C1C(=CC=C3)C(=O)N(C2)[C@@H]1CN2CCC1CC2	296.414	33.89985376401508	1	0	0		5	1			7.973688632702442	23.550000000000004	88.52129999999998	1
DB00385	[H][C@@]1(C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(OC)C=CC=C1C3=O)C(=O)COC(=O)CCCC)O[C@H]1C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O1	723.651	69.19605790453554	0	5	0		5	0	9.403154880551655	8.004695938821461	-3.4156988783544806	215.21999999999997	168.02809999999997	12
DB00398	CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1	464.825	41.3340061519023	1	3	0	0	3	0	13.997061093666286	11.549797587623363	3.029916234990676	92.35000000000001	114.51830000000001	6
DB00399	OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O	272.0896	20.097260908269092	1	5	0	-3	1	-3	1.4203844443343967	0.6570370453814715	6.674963447469139	153.11	52.157700000000006	4
DB00428	CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O	265.2206	23.74213525939503	1	5	0	0	1	0	12.495225806417498	11.42514615892902	-2.9810236083276225	151.92000000000002	55.955200000000005	3
DB00432	OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F	296.1999	23.553759868193794	1	3	0	0	2	0	13.907880321146422	8.498575370429778	-2.9780835895525817	99.09999999999998	56.3445	3
DB00433	CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1	373.943	41.76560285764089	1	0	0	1	4	1			7.988642016898769	9.72	109.80640000000001	4
DB00441	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F	263.1981	21.62331760577378	1	3	0	0	2	0	14.67865974719476	11.517069799137504	3.6475582642344992	108.37999999999998	53.2503	2
DB00444	[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=C(C=C3OCOC3=C1)[C@H]2O[C@]1([H])O[C@]2([H])CO[C@H](O[C@@]2([H])[C@H](O)[C@H]1O)C1=CC=CS1	656.654	64.82932697959106	0	3	0	0	8	0	12.275460152375853	9.329948671524686	-3.685728856351058	160.82999999999998	155.60950000000003	6
DB00445	COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O	543.5193	54.620989311351025	0	6	0	1	5	1	9.41094501738068	8.009651985429558	10.028287439881966	206.07	134.59369999999996	5
DB00451	N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O	776.87	49.401554616111895	1	3	0	0	2	0	7.426761076989792	0.27345586539235944	9.433364269995794	92.78	126.78799999999997	5
DB00480	NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O	259.2606	25.50773963654864	1	2	0	0	3	0	14.142252329187809	11.611915577956777	2.313453764425511	92.5	68.29810000000002	1
DB00481	OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2	473.583	52.5450564731479	1	2	0	1	5	1	9.589455143458157	9.000313028143191	8.420766832870981	70.0	135.48000000000002	7
