drug 	 gene
DB08351	MAPK14
DB08352	MAPK14
DB08353	CSNK2A1
DB08354	CSNK2A1
DB08355	CCNA2
DB08355	CDK2
DB08356	PDK4
DB08357	ACHE
DB08357	nagZ
DB08357	ptsP
DB08358	MAPKAPK2
DB08358	MAPKAPK3
DB08359	fabB
DB08360	CSNK2A1
DB08361	SYK
DB08362	CSNK2A1
DB08363	TP53
DB08364	cqsA
DB08365	WEE1
DB08366	fabF
DB08367	glpG
DB08368	CPA1
DB08369	CYP2B6
DB08370	GSTP1
DB08371	PTPN1
DB08371	YARS
DB08372	gag-pol
DB08372	gag-pol
DB08373	SCGB1A1
DB08374	CTRB1
DB08375	pbpA
DB08375	bla
DB08375	ampC
DB08377	IGHG1
DB08378	MYL6B
DB08378	MYL12A
DB08378	MYH7
DB08379	gag-pol
DB08382	DPP4
DB08383	PDE10A
DB08384	PDE10A
DB08385	FAAH
DB08386	PDE10A
DB08387	PDE10A
DB08388	MMP13
DB08389	PDE10A
DB08391	PDE10A
DB08392	CHEK1
DB08393	CHEK1
DB08394	IGHG1
DB08395	MAPK14
DB08396	IGHV3-30
DB08397	PTPN1
DB08398	ESR1
DB08398	NCOA2
DB08399	ATP5A1
DB08399	ATP5B
DB08399	ATP5C1
DB08400	FAAH
DB08401	pbp1b
DB08402	PPARG
DB08402	NCOA2
DB08402	RXRA
DB08403	MMP1
DB08403	MMP8
DB08404	acpP
DB08405	acpP
DB08406	DHFR
DB08407	fabF
DB08408	phbA
DB08409	IGHG1
DB08409	IGHG2
DB08410	IGHG1
DB08411	IGHG1
DB08412	IGHG1
DB08413	IGKC
DB08413	ALPP
DB08414	gag-pol
DB08416	CA2
DB08418	CA2
DB08419	lipA
DB08420	PRSS1
DB08421	gag-pol
DB08422	F2
DB08423	MAPK14
DB08424	MAPK14
DB08426	F10
DB08427	aroH
DB08428	gag-pol
DB08428	gag-pol
DB08429	DPP4
DB08430	LCTL
DB08431	pikAIV
DB08432	polA
DB08433	yopH
DB08434	V-SRC
DB08435	PPARG
DB08436	HSP90AA1
DB08437	RPL10L
DB08437	RPL13A
DB08437	RPL23
DB08437	RPL15
DB08437	RPL19
DB08437	RPL23A
DB08437	RSL24D1
DB08437	RPL26L1
DB08437	RPL8
DB08437	RPL37
DB08437	RPL3
DB08437	RPL11
DB08437	aat
DB08439	PTGS2
DB08439	LTF
DB08440	cybC
DB08441	CDK2
DB08442	HSP90AA1
DB08443	HSP90AA1
DB08444	gag-pol
DB08445	DPP4
DB08446	gag-pol
DB08447	PLA2G2E
DB08448	DHFR
DB08449	AKR1B1
DB08450	TGFBR1
DB08451	map
DB08453	CYC1
DB08453	MT-CYB
DB08453	UQCRC1
DB08453	UQCRC2
DB08453	UQCRH
DB08453	UQCRQ
DB08453	UQCRFS1
DB08453	UQCR11
DB08453	UQCRB
DB08453	UQCR10
DB08453	petB
DB08453	petA
DB08453	petC
DB08453	petD
DB08453	petG
DB08453	petL
DB08453	petM
DB08453	petN
DB08454	CAMK1D
DB08456	E
DB08457	gag-pol
DB08458	shc
DB08459	gag-pol
DB08460	gag-pol
DB08461	AR
DB08462	SRC
DB08463	CDK2
DB08463	CCNA2
DB08464	HSP90AB1
DB08464	HSP90B1
DB08465	HSP90AB1
DB08465	HSP90B1
DB08466	LTA4H
DB08469	ethR
DB08470	ethR
DB08471	ethR
DB08472	snf
DB08473	CSNK2A1
DB08474	gag-pol
DB08475	estA
DB08476	MMP8
DB08478	TYMS
DB08479	TYMS
DB08480	MAOB
DB08482	MMP1
DB08484	FBP1
DB08485	aroQ
DB08486	HBA1
DB08486	HBB
DB08487	F10
DB08488	F10
DB08489	MMP7
DB08490	MMP13
DB08491	MMP1
DB08492	ALOX15
DB08493	MMP7
DB08494	gag-pol
DB08495	F10
DB08497	CASP3
DB08498	CASP3
DB08499	CASP3
DB08500	PYGM
DB08501	stxB
DB08502	gag-pol
DB08502	pol
DB08503	PYGM
DB08504	DPP4
DB08505	hdaH
DB08506	pepN
DB08507	MMP3
DB08508	pbp1b
DB08510	IGHG2
DB08511	tgt
DB08512	tgt
DB08513	MAPK1
DB08513	INSR
DB08513	IRS1
DB08514	tgt
DB08515	PSMA1
DB08515	PSMA2
DB08515	PSMA3
DB08515	PSMA4
DB08515	PSMA5
DB08515	PSMA6
DB08515	PSMA7
DB08515	PSMB1
DB08515	PSMB2
DB08515	PSMB3
DB08515	PSMB4
DB08515	PSMB5
DB08515	PSMB6
DB08515	PSMB7
DB08516	MAOB
DB08517	fabZ
DB08519	KDR
DB08520	FKBP1A
DB08521	MAPK14
DB08521	MAPK1
DB08522	MAPK14
DB08523	def
DB08523	def
DB08524	def
DB08525	def
DB08526	CTSH
DB08527	CCNA2
DB08527	CDK2
DB08528	gag-pol
DB08529	GGPS1
DB08530	DPP4
DB08531	CDK2
DB08532	CDK2
DB08533	CDK2
DB08534	CDK2
DB08535	CDK2
DB08536	CDK2
DB08537	CDK2
DB08538	CDK2
DB08539	CDK2
DB08541	actII
DB08542	hsaC
DB08544	snf
DB08546	F2
DB08547	IGHG2
DB08548	estA
DB08549	PTPN1
DB08550	PNMT
DB08551	ampC
DB08551	bla
DB08551	blaCTX-M-9a
DB08552	ampC
DB08553	BRAF
DB08554	argF'
DB08555	MAPK10
DB08557	HSP90AA1
DB08558	lpxA
DB08558	fbpC
DB08558	ADRB1
DB08558	LCT
DB08559	pac
DB08560	PPARG
DB08561	MMP13
DB08562	IGKC
DB08562	IGHG1
DB08562	IGKV2D-28
DB08564	SRC
DB08565	CTRB1
DB08566	CTRB1
DB08568	PRKACA
DB08568	PKIA
DB08569	PRKACA
DB08569	PKIA
DB08570	NA
DB08570	NA
DB08571	NA
DB08572	CCNA2
DB08572	CDK2
DB08573	ampC
DB08574	MLLT4
DB08575	MME
DB08576	pip
DB08577	FGFR1
DB08583	ABL1
DB08587	xynY
DB08588	DPP4
DB08589	xynY
DB08590	IRAK4
DB08591	PTPN1
DB08593	PTPN1
DB08594	CTSK
DB08595	ESR1
DB08595	NCOA2
DB08596	RNASE1
DB08597	ACVR1
DB08597	FKBP1A
DB08598	gag-pol
DB08598	gag-pol
DB08599	MMP12
DB08600	gag-pol
DB08601	NCOA2
DB08601	RXRA
DB08602	PDE7A
DB08604	fabI
DB08604	inhA
DB08604	fabI
DB08604	fabI
DB08604	fabI
DB08604	NR1I2
DB08604	AR
DB08604	NR1I3
DB08604	PPARG
DB08604	TPO
DB08605	DECR1
DB08605	fabI
DB08606	mtnN
DB08607	CYP2C8
DB08608	PDK2
DB08609	PDK2
DB08610	PDK2
DB08611	CTSS
DB08612	CES1P1
DB08613	HDAC4
DB08614	CELA1
DB08615	ACHE
DB08617	YARS
DB08618	IGHG2
DB08619	ncsA
DB08620	CHRFAM7A
DB08621	draA
DB08622	gag-pol
DB08623	ampC
DB08624	F2
DB08624	AHR
DB08626	MME
DB08627	fabB
DB08628	fabB
DB08629	ATP5A1
DB08629	ATP5B
DB08629	ATP5C1
DB08631	PNMT
DB08632	HBA1
DB08632	HBB
DB08633	METAP2
DB08634	gag-pol
DB08635	IGHV3-30
DB08636	nahD
DB08637	nahD
DB08638	katG
DB08639	gag-pol
DB08640	CELA1
DB08641	CELA1
DB08642	DHFR
DB08643	MMP3
DB08645	CA2
DB08646	mauC
DB08646	mauB
DB08646	mauA
DB08646	moxG
DB08646	qhnDH
DB08647	IGKC
DB08648	pheA
DB08648	aroH
DB08649	aauA
DB08649	aauB
DB08651	ecoRVR
DB08651	TOP2B
DB08652	aauA
DB08652	aauB
DB08653	aauA
DB08653	aauB
DB08654	PNMT
DB08655	CREBBP
DB08656	rep
DB08657	fabK
DB08658	BCHE
DB08659	CA2
DB08660	CSNK2A1
DB08661	RNASE1
DB08662	gag-pol
DB08663	gag-pol
DB08664	gag-pol
DB08665	gag-pol
DB08666	map
DB08667	map
DB08668	map
DB08669	map
DB08670	map
DB08671	map
DB08672	DPP4
DB08673	CDK2
DB08674	FNTA
DB08674	FNTB
DB08675	PTGIS
DB08676	FNTA
DB08676	FNTB
DB08677	CDK2
DB08678	PTPRB
DB08680	gag-pol
DB08681	gag-pol
DB08682	gag-pol
DB08683	CHEK1
DB08684	fabH
DB08686	gag-pol
DB08687	EGLN1
DB08687	HIF1A
DB08688	ACOT13
DB08689	pufC
DB08689	puhA
DB08689	pufL
DB08689	pufM
DB08689	SDHA
DB08689	SDHB
DB08689	SDHD
DB08689	SDHC
DB08689	dsbA
DB08689	dsbB
DB08689	nrfC
DB08690	sdhA
DB08690	sdhB
DB08690	sdhC
DB08690	sdhD
DB08690	CYC1
DB08690	MT-CYB
DB08690	UQCRC1
DB08690	UQCRC2
DB08690	UQCRH
DB08690	UQCRQ
DB08690	UQCRFS1
DB08690	UQCR11
DB08690	UQCRB
DB08690	UQCR10
DB08690	pufC
DB08690	puhA
DB08690	pufL
DB08690	pufM
DB08690	dsbB
DB08690	petB
DB08690	petA
DB08690	petC
DB08690	pufL
DB08690	pufM
DB08690	puhA
DB08691	CLK1
DB08691	CLK3
DB08692	CTRB1
DB08693	CTRB1
DB08694	CDK2
DB08694	CCNA2
DB08695	HPGDS
DB08697	PLAU
DB08698	murI
DB08699	CAMK2G
DB08703	MAP3K9
DB08704	nagZ
DB08705	PIM1
DB08707	PIM1
DB08708	PIM1
DB08709	PIM1
DB08711	xynY
DB08712	fabH
DB08718	map
DB08729	PDE5A
DB08730	MAPK14
DB08731	ampC
DB08732	rep
DB08733	ADAM28
DB08734	TYMS
DB08737	ESR1
DB08738	PREP
DB08739	PREP
DB08740	CTSD
DB08741	folA
DB08742	NCOA1
DB08742	VDR
DB08743	DPP4
DB08744	NQO2
DB08745	F10
DB08746	F10
DB08748	rep
DB08748	orf1ab
DB08749	BACE1
DB08750	NOS2
DB08751	HRAS
DB08752	CTSS
DB08753	def
DB08754	def
DB08755	CTSS
DB08756	PRKACA
DB08756	PKIA
DB08756	ROCK1
DB08756	ROCK2
DB08757	map
DB08758	map
DB08759	pikAIV
DB08760	PPARG
DB08761	cyp121
DB08762	CPA1
DB08763	PRSS1
DB08765	CA2
DB08765	MIF
DB08766	LAP3
DB08767	aauA
DB08767	aauB
DB08768	CDK2
DB08770	ADORA2A
DB08771	HSD11B1
DB08772	AKR1B10
DB08772	AKR1B1
DB08773	ESR1
DB08773	NCOA2
DB08774	CHEK1
DB08775	CTSF
DB08776	CHEK1
DB08777	CHEK1
DB08778	CHEK1
DB08779	CHEK1
DB08780	CHEK1
DB08781	CHEK1
DB08782	CA2
DB08783	PTPN1
DB08784	NMRAL1
DB08785	celH
DB08786	HSP90AA1
DB08787	HSP90AA1
DB08788	HSP90AA1
DB08789	HSP90AA1
DB08790	HPGDS
DB08791	MET
DB08795	pbp2a
DB08795	pbp1b
DB08795	pbp3
DB08795	pbpA
DB08795	penA
DB08799	HRH1
DB08800	HRH1
DB08801	HRH1
DB08801	CHRM2
DB08802	HRH1
DB08804	AR
DB08804	FOS
DB08804	HTR2A
DB08804	HTR2B
DB08804	HTR2C
DB08804	HTR1B
DB08804	IGF1R
DB08804	DRD1
DB08804	DRD5
DB08804	DRD2
DB08804	DRD3
DB08804	DRD4
DB08805	HRH2
DB08806	HRH2
DB08807	ADRB1
DB08807	ADRB2
DB08807	HTR1A
DB08807	HTR1B
DB08807	ADRB3
DB08808	ADRB1
DB08808	ADRB2
DB08808	ADRB3
DB08809	PDK1
DB08809	GSTZ1
DB08810	HTR1A
DB08810	HTR2A
DB08810	HTR4
DB08811	PDE4A
DB08811	PDE10A
DB08811	PDE3A
DB08811	PDE2A
DB08813	SERPINC1
DB08813	SELP
DB08813	FOS
DB08813	MYC
DB08814	PTGS1
DB08814	NFKB1
DB08814	NOS2
DB08814	PDE10A
DB08815	DRD2
DB08815	HTR2A
DB08815	HTR7
DB08815	HTR1A
DB08815	ADRA2C
DB08815	ADRA2A
DB08816	P2RY12
DB08818	CD44
DB08818	ICAM1
DB08818	HMMR
DB08818	NCAN
DB08818	VCAN
DB08818	C1QBP
DB08818	HAPLN1
DB08818	HAPLN3
DB08818	HABP2
DB08818	LAYN
DB08818	STAB2
DB08818	TNFAIP6
DB08818	IMPG2
DB08818	HABP4
DB08818	LYVE1
DB08819	PTGFR
DB08820	CFTR
DB08822	AGTR1
DB08827	MTTP
DB08828	SMO
DB08834	ITGA5
DB08835	FOLH1
DB08836	ACE
DB08837	kcsA
DB08837	CHRNA9
DB08837	Kcnma1
DB08837	KCNA1
DB08838	ADRA2C
DB08838	NISCH
DB08838	CHRNA1
DB08838	GRIN1
DB08838	KCNJ1
DB08838	CACNA1B
DB08838	ASIC3
DB08839	SLC6A4
DB08839	HTR2A
DB08839	HTR3A
DB08839	HTR3B
DB08839	SLC18A2
DB08845	aspC
DB08846	CA1
DB08846	CA2
DB08846	CA3
DB08846	CA4
DB08846	CA5A
DB08846	CA5B
DB08846	CA6
DB08846	CA7
DB08846	CA9
DB08846	CA12
DB08846	CA14
DB08846	CSNK2A1
DB08846	PRKACA
DB08846	PRKCA
DB08846	PRKCB
DB08846	SYK
DB08846	SQLE
DB08848	SLC6A13
DB08848	SLC6A1
DB08848	SLC6A11
DB08848	SLC6A12
DB08855	CYSLTR1
DB08855	CYSLTR2
DB08855	ABCC1
DB08860	HMGCR
DB08860	ITGAL
DB08862	CCKAR
DB08862	RAF1
DB08862	MAPK3
DB08862	EGF
DB08862	PRKCB
DB08862	CCKBR
DB08864	pol
DB08864	NR1I2
DB08865	ALK
DB08865	MET
DB08865	ROS1
DB08865	MST1R
DB08867	PGR
DB08867	NR3C1
DB08867	AR
DB08868	S1PR5
DB08868	S1PR1
DB08868	S1PR3
DB08868	HDAC1
DB08868	S1PR4
DB08869	GHRHR
DB08870	TNFRSF8
DB08871	BCL2
DB08871	TUBB1
DB08872	CACNA2D1
DB08872	CACNA2D2
DB08873	NS3/4A
DB08874	sigA1
DB08875	MET
DB08875	KDR
DB08875	RET
DB08877	JAK2
DB08877	JAK1
DB08877	JAK3
DB08877	TYK2
DB08879	TNFSF13B
DB08880	DHODH
DB08881	BRAF
DB08882	DPP4
DB08883	GRIA1
DB08885	VEGFA
DB08885	PGF
DB08885	VEGFB
DB08888	FN1
DB08888	A2M
DB08888	SERPINF2
DB08889	PSMB5
DB08889	PSMB8
DB08889	PSMB1
DB08889	PSMB9
DB08889	PSMB2
DB08889	PSMB10
DB08890	GUCY2C
DB08891	GABBR1
DB08891	GABBR2
DB08892	GABBR1
DB08892	GABBR2
DB08893	ADRB3
DB08893	ADRB1
DB08894	EPOR
DB08895	JAK1
DB08895	JAK2
DB08895	JAK3
DB08895	TYK2
DB08896	FLT1
DB08896	KDR
DB08896	FLT4
DB08896	KIT
DB08896	PDGFRA
DB08896	PDGFRB
DB08896	FGFR1
DB08896	FGFR2
DB08896	TEK
DB08896	DDR2
DB08896	NTRK1
DB08896	EPHA2
DB08896	RAF1
DB08896	BRAF
DB08896	MAPK11
DB08896	FRK
DB08896	ABL1
DB08896	RET
DB08897	CHRM1
DB08897	CHRM2
DB08897	CHRM3
DB08897	CHRM4
DB08897	CHRM5
DB08899	AR
DB08900	GLP2R
DB08901	ABL1
DB08901	BCR
DB08901	KIT
DB08901	RET
DB08901	TEK
DB08901	FLT3
DB08901	FGFR1
DB08901	FGFR2
DB08901	FGFR3
DB08901	FGFR4
DB08901	LCK
DB08901	SRC
DB08901	LYN
DB08901	KDR
DB08901	PDGFRA
DB08902	pagA
DB08903	atpE
DB08904	TNF
DB08906	NR3C1
DB08906	PGR
DB08906	NR3C2
DB08907	SLC5A2
DB08908	KEAP1
DB08908	RELA
DB08910	CRBN
DB08910	TNF
DB08910	PTGS2
DB08911	MAP2K1
DB08911	MAP2K2
DB08912	BRAF
DB08912	RAF1
DB08912	SIK1
DB08912	NEK11
DB08912	LIMK1
DB08915	PPARA
DB08915	PPARG
DB08915	NCOA1
DB08916	EGFR
DB08916	ERBB2
DB08916	ERBB4
DB08918	SLC6A4
DB08918	SLC6A2
DB08922	HTR2A
DB08922	DRD2
DB08922	HTR1A
DB08922	HRH1
DB08922	DRD4
DB08922	ADRA1A
DB08922	ADRA1B
DB08922	ADRA1D
DB08927	HTR2A
DB08930	pol
DB08931	GUCY1A2
DB08932	EDNRA
DB08932	EDNRB
DB08933	ERG11
DB08934	NS5b
DB08935	MS4A1
DB08936	HRH1
DB08949	HCAR3
DB08949	HCAR2
DB08950	ADRA1A
DB08951	PKM
DB08954	GRIN2B
DB08954	GRIN1
DB08954	KCNJ3
DB08954	KCNJ6
DB08954	KCNJ5
DB08960	CHRNA2
DB08964	PTGER3
DB08964	PTGER2
DB08995	AHR
DB08996	ACHE
DB09006	PPARA
DB09006	PPARG
DB09006	PPARD
DB09013	ADRB1
DB09013	ADRB2
DB09014	HTR2C
DB09014	SIGMAR1
DB09014	DRD3
DB09016	SLC6A4
DB09016	HRH1
DB09016	HTR2A
DB09017	GABRA1
DB09017	GABRA2
DB09017	GABRA3
DB09017	GABRA4
DB09017	GABRA5
DB09017	GABRA6
DB09017	GABRB1
DB09017	GABRB2
DB09017	GABRB3
DB09017	GABRD
DB09017	GABRE
DB09017	GABRG1
DB09017	GABRG2
DB09017	GABRG3
DB09017	GABRP
DB09017	GABRQ
DB09017	GABRA1
DB09017	GABRA2
DB09017	GABRA3
DB09017	GABRA5
DB09017	GABRG1
DB09017	GABRG2
DB09017	GABRG3
DB09018	DRD2
DB09019	TMPRSS2
DB09019	ACE2
DB09020	AQP3
DB09020	ATP1A1
DB09020	ATP1A2
DB09020	ATP1A3
DB09020	ATP1A4
DB09020	ATP1B1
DB09020	ATP1B2
DB09020	ATP1B3
DB09020	FXYD2
DB09026	REN
DB09027	NS5A
DB09028	CHRNA4
DB09028	CHRNA7
DB09028	CHRNA3
DB09028	CHRNA6
DB09028	CHRNB2
DB09029	IL17A
DB09030	F2R
DB09031	ABCB1
DB09033	ITGA4
DB09033	ITGB7
DB09034	HCRTR1
DB09034	HCRTR2
DB09035	PDCD1
DB09035	CD274
DB09036	IL6
DB09037	PDCD1
DB09037	CD274
DB09038	SLC5A2
DB09039	UGCG
DB09040	ERG11
DB09041	CDC60
DB09043	GLP1R
DB09045	GLP1R
DB09046	LEPR
DB09047	gyrA
DB09047	parC
DB09047	TOP2A
DB09048	TACR1
DB09049	OPRM1
DB09050	ponB
DB09050	pbpB
DB09050	pbpC
DB09050	mrdA
DB09050	dacA
DB09050	dacB
DB09050	dacC
DB09050	mrcA
DB09050	mrcB
DB09050	mrdA
DB09050	ftsI
DB09052	CD19
DB09052	CD3D
DB09053	BTK
DB09054	PIK3CD
DB09057	pagA
DB09059	OXTR
DB09059	AVPR1A
DB09059	AVPR1B
DB09059	AVPR2
DB09060	bla
DB09060	blaCTX-M-14
DB09060	blaCTX-M-27
DB09060	ampC
DB09060	bla
DB09060	bla
DB09060	bla
DB09060	OXA-48
DB09060	bla
DB09060	blaUOE-1
DB09060	per1
DB09061	CNR1
DB09061	CNR2
DB09061	GPR12
DB09061	GLRA1
DB09061	GLRA1
DB09061	GLRB
DB09061	GLRA3
DB09061	GPR18
DB09061	GPR55
DB09061	HTR1A
DB09061	HTR2A
DB09061	CHRNA7
DB09061	OPRD1
DB09061	OPRM1
DB09061	PPARG
DB09061	TRPV1
DB09061	CACNA1G
DB09061	CACNA1H
DB09061	CACNA1I
DB09061	TRPA1
DB09061	TRPM8
DB09061	TRPV2
DB09061	TRPV3
DB09061	TRPV4
DB09061	VDAC1
DB09061	HTR3A
DB09061	ADORA1
DB09061	PTGS1
DB09061	PTGS2
DB09061	ACAT1
DB09061	CYP17A1
DB09061	HMGCR
DB09061	GSR
DB09061	GPX1
DB09061	IDO1
DB09061	CYP1B1
DB09061	NQO1
DB09061	CAT
DB09061	CYP3A5
DB09061	CYP2D6
DB09061	SOD1
DB09061	CYP1A2
DB09061	CYP3A7
DB09061	AANAT
DB09061	NAAA
DB09063	ALK
DB09064	PPARA
DB09065	CYP3A4
DB09066	FSHR
DB09067	CRHR1
DB09068	SLC6A4
DB09068	HTR3A
DB09068	HTR7
DB09068	HTR1B
DB09068	HTR1A
DB09068	ADRB1
DB09068	SLC6A2
DB09069	ACAA2
DB09070	ESR1
DB09071	MTNR1A
DB09071	MTNR1B
DB09072	GABBR1
DB09072	GABBR2
DB09072	SLC52A2
DB09073	CDK4
DB09073	CDK6
DB09074	PARP1
DB09074	PARP2
DB09074	PARP3
DB09074	AKR1C3
DB09075	F10
DB09076	CHRM2
DB09076	CHRM3
DB09076	CHRM1
DB09076	CHRM4
DB09076	CHRM5
DB09078	FLT1
DB09078	KDR
DB09078	FLT4
DB09078	FGFR1
DB09078	FGFR2
DB09078	FGFR3
DB09078	FGFR4
DB09078	PDGFRA
DB09078	RET
DB09078	KIT
DB09079	FLT1
DB09079	KDR
DB09079	FLT4
DB09079	PDGFRA
DB09079	PDGFRB
DB09079	FGFR1
DB09079	FGFR2
DB09079	FGFR3
DB09079	FLT3
DB09079	LCK
DB09079	LYN
DB09079	SRC
DB09080	ADRB2
DB09082	ADRB2
DB09083	HCN2
DB09085	RYR1
DB09085	RYR2
DB09085	SCN1A
DB09085	SCN10A
DB09085	SCN11A
DB09085	SCN2A
DB09085	SCN3A
DB09085	SCN4A
DB09085	SCN5A
DB09085	SCN7A
DB09085	SCN8A
DB09085	SCN9A
DB09086	ESR1
DB09086	ESR2
DB09086	AR
DB09086	TRPV3
DB09089	OPRM1
DB09089	CACNA1C
DB09089	CACNA1D
DB09089	CACNA1F
DB09089	CACNA1S
DB09089	CACNB1
DB09089	CACNB2
DB09089	CACNB3
DB09089	CACNB4
DB09089	CACNA1A
DB09089	KCNMA1
DB09089	KCNMB1
DB09089	KCNMB2
DB09089	KCNMB3
DB09089	KCNMB4
DB09089	KCNN4
DB09089	KCNN1
DB09089	KCNN2
DB09089	KCNN3
DB09089	CHRM1
DB09089	CHRM2
DB09089	CHRM3
DB09089	CHRM4
DB09089	CACNA1G
DB09089	CACNA1H
DB09089	CACNA1I
DB09090	CACNA1S
DB09091	NR3C1
DB09091	HDAC2
DB09092	NNT
DB09092	GAPDH
DB09092	IDH3A
DB09092	OGDH
DB09092	MDH2
DB09092	RPL3
DB09093	rpsC
DB09093	rpsH
DB09093	rpsS
DB09093	rpsN
DB09093	rpsG
DB09093	ARF1
DB09093	katA
DB09093	EPHB1
DB09093	PNLIP
DB09093	PADI4
DB09095	ANXA3
DB09095	NR3C1
DB09096	CAT
DB09096	GPX5
DB09096	GPX1
DB09096	GPX2
DB09096	GPX3
DB09096	GPX6
DB09096	GPX7
DB09096	GPX4
DB09096	GPX8
DB09096	AZIN2
DB09096	PRKCA
DB09096	PRKCB
DB09096	PRKCD
DB09096	PRKCE
DB09096	PRKCG
DB09096	PRKCI
DB09096	PRKCQ
DB09096	PRKCZ
DB09096	SOD3
DB09096	SOD1
DB09096	SOD2
DB09097	DRD2
DB09097	DRD1
DB09097	DRD5
DB09098	GHR
DB09098	IGF1R
DB09099	SSTR1
DB09099	SSTR2
DB09099	SSTR3
DB09099	SSTR4
DB09099	SSTR5
DB09100	THRA
DB09100	THRB
DB09101	pol
DB09102	NS5A
DB09103	KIT
DB09107	EPOR
DB09108	VWF
DB09109	F9
DB09109	F10
DB09109	F2
DB09112	HBA1
DB09112	HBB
DB09112	MB
DB09116	ALDH3B2
DB09118	GABRA1
DB09118	GABRA2
DB09118	GABRA3
DB09118	GABRA4
DB09118	GABRA5
DB09118	GABRA6
DB09118	GABRB1
DB09118	GABRB2
DB09118	GABRB3
DB09118	GABRD
DB09118	GABRE
DB09118	GABRG1
DB09118	GABRG2
DB09118	GABRG3
DB09118	GABRP
DB09118	GABRQ
DB09118	LDHA
DB09118	LDHB
DB09119	P2RX4
DB09120	TRPV1
DB09121	ADCY1
DB09121	ADCY2
DB09121	ADCY5
DB09122	IFNAR1
DB09123	PGR
DB09123	AR
DB09124	PGR
DB09126	LHCGR
DB09128	HTR1A
DB09128	DRD2
DB09128	HTR2A
DB09128	ADRA2C
DB09128	ADRA1B
DB09129	INSR
DB09130	APP
DB09130	AHCY
DB09130	HIST1H2BC
DB09130	GAPDH
DB09130	NME1
DB09130	HIST1H1E
DB09130	PRDX1
DB09130	S100A8
DB09130	RPSA
DB09130	ACTG1
DB09130	ENO1
DB09130	EEF1A1
DB09130	KRT8
DB09130	P4HB
DB09130	PDIA3
DB09130	HSPD1
DB09130	HSPA13
DB09130	HSPA5
DB09130	HSP90B1
DB09130	TF
DB09130	Lyar
DB09130	RPS2
DB09130	SRSF1
DB09130	HNRNPA2B1
DB09130	HNRNPH1
DB09130	HNRNPH3
DB09130	cbiD
DB09130	HNRNPL
DB09130	SFPQ
DB09130	SF3A2
DB09130	RACK1
DB09130	ACTN1
DB09130	ACY1
DB09130	ANXA4
DB09130	ANXA5
DB09130	CALR
DB09130	PKM
DB09130	AKR1A1
DB09130	CYB5R3
DB09130	GSR
DB09130	TKT
DB09130	PRDX2
DB09130	PRDX6
DB09130	PPIA
DB09130	HSPA8
DB09130	HSP90AA1
DB09130	PTGES3
DB09130	STIP1
DB09130	EEF1A1L14
DB09130	EIF6
DB09130	EIF4A1
DB09130	GPI
DB09130	LDHA
DB09130	PGK1
DB09130	TUBA3C
DB09130	TUBB
DB09130	CFL1
DB09130	YWHAB
DB09130	GOT1
DB09130	GSS
DB09130	HDGF
DB09130	IDH3A
DB09130	CLIC1
DB09130	PSME1
DB09130	PEBP1
DB09130	PGAM1
DB09130	RANBP1
DB09130	UGDH
DB09130	B2M
DB09130	SCO1
DB09130	PRNP
DB09130	GLRA1
DB09130	HTT
DB09130	NEIL1
DB09130	NEIL2
DB09130	HEPHL1
DB09130	SERPINE1
DB09130	S100A2
DB09130	S100A4
DB09130	SNCA
DB09130	BDNF
DB09130	PARK7
DB09130	IAPP
DB09130	TAC3
DB09130	A1BG
DB09130	AFM
DB09130	AGT
DB09130	AHSG
DB09130	APCS
DB09130	APOA1
DB09130	APOA2
DB09130	APOA4
DB09130	APOBR
DB09130	APOC2
DB09130	APOC3
DB09130	APOD
DB09130	APOE
DB09130	APOH
DB09130	AZGP1
DB09130	C1QC
DB09130	C1S
DB09130	C3
DB09130	C4B
DB09130	C4BPA
DB09130	C5
DB09130	C8B
DB09130	C9
DB09130	CFH
DB09130	CFI
DB09130	CLEC3B
DB09130	CLU
DB09130	F2
DB09130	C1QBP
DB09130	GSN
DB09130	HBA1
DB09130	HBB
DB09130	CBX5
DB09130	HPR
DB09130	IGFALS
DB09130	IGHG1
DB09130	IGHG4
DB09130	IGLL1
DB09130	ITIH2
DB09130	KNG1
DB09130	KRT1
DB09130	KRT10
DB09130	KRT2
DB09130	KRT9
DB09130	LRG1
DB09130	LUM
DB09130	PGLYRP2
DB09130	PLG
DB09130	PON1
DB09130	PPBP
DB09130	SERPINA1
DB09130	SERPINA4
DB09130	SERPINA6
DB09130	SERPINA7
DB09130	SERPINC1
DB09130	SERPIND1
DB09130	SERPINF1
DB09130	SERPINF2
DB09130	SERPING1
DB09130	TTR
DB09130	VTN
DB09130	APLP1
DB09131	PROC
DB09131	CSTB
DB09140	MT-CO1
DB09140	NOX1
DB09141	F10
DB09141	SERPINC1
DB09143	SMO
DB09147	FTL
DB09147	HBA1
DB09147	HBB
DB09148	APP
DB09149	APP
DB09151	APP
DB09166	GABRA1
DB09166	GABRA2
DB09166	GABRA3
DB09166	GABRA4
DB09166	GABRA5
DB09166	GABRA6
DB09166	GABRB1
DB09166	GABRB2
DB09166	GABRB3
DB09166	GABRD
DB09166	GABRE
DB09166	GABRG1
DB09166	GABRG2
DB09166	GABRG3
DB09166	GABRP
DB09166	GABRQ
DB09166	GABRA1
DB09166	GABRA2
DB09166	GABRA3
DB09166	GABRA5
DB09166	GABRG1
DB09166	GABRG2
DB09166	GABRG3
